lat,lon,depth,starttime,energy,duration 
44.54,-123.69,20.0,2009-09-05 20:12:30,0.0, None 
44.465,-123.52,20.0,2009-09-05 20:15:00,0.0, None 
44.43,-123.59,27.0,2009-09-05 20:17:30,0.0, None 
44.44,-123.56,27.0,2009-09-05 20:20:00,0.0, None 
44.45,-123.58,60.0,2009-09-05 20:22:30,0.0, None 
44.51,-123.495,60.0,2009-09-05 20:25:00,0.0, None 
44.48,-123.425,35.0,2009-09-05 20:30:00,0.0, None 
44.44,-123.63,54.5,2009-09-05 20:40:00,0.0, None 
44.545,-123.455,38.2,2009-09-05 20:42:30,0.0, None 
44.58,-123.57,44.5,2009-09-05 20:45:00,0.0, None 
44.535,-123.48,33.5,2009-09-05 20:47:30,0.0, None 
44.45,-123.42,60.0,2009-09-05 20:50:00,0.0, None 
44.51,-123.53,51.0,2009-09-05 20:52:30,0.0, None 
44.52,-123.51,48.5,2009-09-05 20:55:00,0.0, None 
44.53,-123.515,60.0,2009-09-05 20:57:30,0.0, None 
44.585,-123.55,49.0,2009-09-05 21:02:30,0.0, None 
44.59,-123.43,35.0,2009-09-05 22:00:00,0.0, None 
44.56,-123.23,60.0,2009-09-05 22:05:00,0.0, None 
44.58,-123.63,27.2,2009-09-05 22:07:30,0.0, None 
44.535,-123.71,20.0,2009-09-05 22:25:00,0.0, None 
44.485,-123.28,60.0,2009-09-05 22:30:00,0.0, None 
44.6,-123.54,20.0,2009-09-05 22:37:30,0.0, None 
44.58,-123.43,36.0,2009-09-05 22:50:00,0.0, None 
44.57,-123.53,51.0,2009-09-05 22:55:00,0.0, None 
44.51,-123.47,60.0,2009-09-05 22:57:30,0.0, None 
44.51,-123.49,20.0,2009-09-05 23:02:30,0.0, None 
44.51,-123.52,23.0,2009-09-05 23:05:00,0.0, None 
44.545,-123.605,40.5,2009-09-05 23:12:30,0.0, None 
44.4,-123.67,25.0,2009-09-05 23:22:30,0.0, None 
44.53,-123.455,30.5,2009-09-05 23:30:00,0.0, None 
44.46,-123.4,47.0,2009-09-05 23:37:30,0.0, None 
44.56,-123.36,60.0,2009-09-05 23:40:00,0.0, None 
44.49,-123.66,20.0,2009-09-05 23:47:30,0.0, None 
44.505,-123.6,37.0,2009-09-06 00:22:30,0.0, None 
44.53,-123.67,60.0,2009-09-06 00:25:00,0.0, None 
44.49,-123.68,55.0,2009-09-06 00:30:00,0.0, None 
44.43,-123.51,52.0,2009-09-06 00:32:30,0.0, None 
44.43,-123.375,60.0,2009-09-06 00:35:00,0.0, None 
44.42,-123.675,39.5,2009-09-06 00:37:30,0.0, None 
44.4,-123.22,20.0,2009-09-06 00:40:00,0.0, None 
44.5,-123.42,60.0,2009-09-06 01:15:00,0.0, None 
44.44,-123.39,22.5,2009-09-06 03:55:00,0.0, None 
44.46,-123.335,20.0,2009-09-06 03:57:30,0.0, None 
44.59,-123.6,41.0,2009-09-06 05:02:30,0.0, None 
44.5,-123.31,60.0,2009-09-06 11:37:30,0.0, None 
44.41,-123.24,20.0,2009-09-06 11:42:30,0.0, None 
44.47,-123.605,30.0,2009-09-06 11:47:30,0.0, None 
44.47,-123.27,60.0,2009-09-06 11:57:30,0.0, None 
44.54,-123.315,31.0,2009-09-06 12:12:30,0.0, None 
44.5,-123.39,60.0,2009-09-06 12:57:30,0.0, None 
44.585,-123.51,47.0,2009-09-06 13:32:30,0.0, None 
44.59,-123.505,47.5,2009-09-06 13:35:00,0.0, None 
44.425,-123.33,35.0,2009-09-06 13:50:00,0.0, None 
44.475,-123.36,49.5,2009-09-06 13:52:30,0.0, None 
44.43,-123.355,29.0,2009-09-06 13:55:00,0.0, None 
44.485,-123.705,60.0,2009-09-06 13:57:30,0.0, None 
44.5,-123.56,20.0,2009-09-06 14:00:00,0.0, None 
44.45,-123.46,20.0,2009-09-06 14:02:30,0.0, None 
44.6,-123.58,48.0,2009-09-06 14:07:30,0.0, None 
44.6,-123.62,60.0,2009-09-06 14:12:30,0.0, None 
44.535,-123.46,32.5,2009-09-06 14:15:00,0.0, None 
44.47,-123.41,35.0,2009-09-06 14:17:30,0.0, None 
44.48,-123.375,44.5,2009-09-06 14:20:00,0.0, None 
44.55,-123.59,45.0,2009-09-06 14:22:30,0.0, None 
44.54,-123.63,28.0,2009-09-06 14:25:00,0.0, None 
44.57,-123.605,59.0,2009-09-06 14:27:30,0.0, None 
44.48,-123.37,33.0,2009-09-06 14:30:00,0.0, None 
44.545,-123.435,47.5,2009-09-06 14:50:00,0.0, None 
44.5,-123.42,20.0,2009-09-06 14:52:30,0.0, None 
44.49,-123.61,20.0,2009-09-06 21:12:30,0.0, None 
44.51,-123.35,20.0,2009-09-08 00:47:30,0.0, None 
44.5,-123.54,20.0,2009-09-08 00:52:30,0.0, None 
44.57,-123.645,47.0,2009-09-08 00:55:00,0.0, None 
44.45,-123.625,60.0,2009-09-08 01:10:00,0.0, None 
44.46,-123.665,60.0,2009-09-08 01:12:30,0.0, None 
44.545,-123.615,29.0,2009-09-08 01:27:30,0.0, None 
44.59,-123.63,30.0,2009-09-08 02:02:30,0.0, None 
44.42,-123.675,60.0,2009-09-08 02:12:30,0.0, None 
44.41,-123.66,43.0,2009-09-08 02:17:30,0.0, None 
44.47,-123.71,21.5,2009-09-08 02:20:00,0.0, None 
44.44,-123.62,33.0,2009-09-08 02:22:30,0.0, None 
44.5,-123.57,43.0,2009-09-08 02:27:30,0.0, None 
44.49,-123.59,33.0,2009-09-08 02:30:00,0.0, None 
44.5,-123.59,23.5,2009-09-08 02:32:30,0.0, None 
44.47,-123.575,60.0,2009-09-08 02:35:00,0.0, None 
44.46,-123.62,38.0,2009-09-08 02:37:30,0.0, None 
44.46,-123.635,60.0,2009-09-08 02:40:00,0.0, None 
44.42,-123.51,46.0,2009-09-08 02:42:30,0.0, None 
44.405,-123.565,54.0,2009-09-08 02:45:00,0.0, None 
44.485,-123.71,49.0,2009-09-08 02:47:30,0.0, None 
44.54,-123.6,33.0,2009-09-08 02:50:00,0.0, None 
44.55,-123.515,34.0,2009-09-08 02:52:30,0.0, None 
44.41,-123.51,48.0,2009-09-08 02:55:00,0.0, None 
44.48,-123.44,60.0,2009-09-08 03:05:00,0.0, None 
44.41,-123.42,22.5,2009-09-08 03:07:30,0.0, None 
44.4,-123.355,25.0,2009-09-08 03:10:00,0.0, None 
44.45,-123.39,35.0,2009-09-08 03:12:30,0.0, None 
44.51,-123.6,31.0,2009-09-08 03:22:30,0.0, None 
44.51,-123.59,27.5,2009-09-08 03:25:00,0.0, None 
44.53,-123.64,20.0,2009-09-08 03:27:30,0.0, None 
44.565,-123.67,36.0,2009-09-08 03:30:00,0.0, None 
44.54,-123.58,45.0,2009-09-08 03:32:30,0.0, None 
44.59,-123.35,45.0,2009-09-08 03:40:00,0.0, None 
44.51,-123.435,31.0,2009-09-08 03:42:30,0.0, None 
44.48,-123.46,31.5,2009-09-08 03:47:30,0.0, None 
44.51,-123.44,20.0,2009-09-08 03:50:00,0.0, None 
44.56,-123.31,60.0,2009-09-08 03:57:30,0.0, None 
44.41,-123.45,60.0,2009-09-08 04:00:00,0.0, None 
44.4,-123.505,60.0,2009-09-08 04:27:30,0.0, None 
44.5,-123.595,60.0,2009-09-08 04:30:00,0.0, None 
44.515,-123.71,60.0,2009-09-08 04:32:30,0.0, None 
44.5,-123.77,53.0,2009-09-08 04:35:00,0.0, None 
44.44,-123.53,60.0,2009-09-08 05:30:00,0.0, None 
44.52,-123.525,51.0,2009-09-08 05:50:00,0.0, None 
44.6,-123.94,60.0,2009-09-08 05:57:30,0.0, None 
44.54,-123.49,20.0,2009-09-08 06:00:00,0.0, None 
44.53,-123.67,20.0,2009-09-08 06:02:30,0.0, None 
44.56,-123.61,25.0,2009-09-08 06:05:00,0.0, None 
44.54,-123.53,60.0,2009-09-08 06:07:30,0.0, None 
44.58,-123.61,38.0,2009-09-08 06:20:00,0.0, None 
44.515,-123.45,26.0,2009-09-08 06:22:30,0.0, None 
44.51,-123.315,45.5,2009-09-08 06:35:00,0.0, None 
44.53,-123.4,35.0,2009-09-08 06:37:30,0.0, None 
44.545,-123.59,35.0,2009-09-08 06:50:00,0.0, None 
44.58,-123.555,53.0,2009-09-08 06:52:30,0.0, None 
44.4,-123.455,60.0,2009-09-08 06:57:30,0.0, None 
44.6,-123.68,28.0,2009-09-08 07:00:00,0.0, None 
44.59,-123.56,40.0,2009-09-08 07:12:30,0.0, None 
44.58,-123.56,33.5,2009-09-08 07:15:00,0.0, None 
44.6,-123.665,20.0,2009-09-08 07:25:00,0.0, None 
44.6,-123.585,20.0,2009-09-08 07:27:30,0.0, None 
44.51,-123.5,22.0,2009-09-08 07:37:30,0.0, None 
44.6,-123.71,20.0,2009-09-08 07:52:30,0.0, None 
44.54,-123.7,20.0,2009-09-08 07:55:00,0.0, None 
44.4,-123.38,60.0,2009-09-08 09:25:00,0.0, None 
44.425,-123.395,60.0,2009-09-08 09:27:30,0.0, None 
44.44,-123.33,60.0,2009-09-08 11:05:00,0.0, None 
44.56,-123.9,23.0,2009-09-08 11:57:30,0.0, None 
44.5,-123.69,20.0,2009-09-08 12:12:30,0.0, None 
44.52,-123.4,33.0,2009-09-08 12:20:00,0.0, None 
44.555,-123.305,20.0,2009-09-08 18:35:00,0.0, None 
44.425,-123.535,50.0,2009-09-08 18:45:00,0.0, None 
44.43,-123.395,60.0,2009-09-08 18:55:00,0.0, None 
44.405,-123.39,60.0,2009-09-08 18:57:30,0.0, None 
44.585,-123.54,60.0,2009-09-08 19:10:00,0.0, None 
44.415,-123.3,60.0,2009-09-08 19:15:00,0.0, None 
44.43,-123.41,20.0,2009-09-10 00:12:30,0.0, None 
44.41,-123.43,60.0,2009-09-10 00:30:00,0.0, None 
44.4,-123.37,20.0,2009-09-10 00:32:30,0.0, None 
44.415,-123.365,60.0,2009-09-10 02:57:30,0.0, None 
44.41,-123.27,60.0,2009-09-10 03:45:00,0.0, None 
44.41,-123.615,60.0,2009-09-10 06:55:00,0.0, None 
44.42,-123.3,60.0,2009-09-10 07:02:30,0.0, None 
44.41,-123.44,20.0,2009-09-10 07:07:30,0.0, None 
44.46,-123.56,53.5,2009-09-10 07:30:00,0.0, None 
44.42,-123.3,55.0,2009-09-10 12:52:30,0.0, None 
44.4,-123.33,20.0,2009-09-10 13:22:30,0.0, None 
44.425,-123.66,60.0,2009-09-10 15:45:00,0.0, None 
44.465,-123.44,60.0,2009-09-10 17:25:00,0.0, None 
44.405,-123.65,60.0,2009-09-10 22:05:00,0.0, None 
44.4,-123.91,60.0,2009-09-10 22:22:30,0.0, None 
44.47,-123.72,60.0,2009-09-11 01:37:30,0.0, None 
44.425,-123.33,60.0,2009-09-11 01:50:00,0.0, None 
44.4,-123.51,54.0,2009-09-11 01:52:30,0.0, None 
44.4,-123.54,49.0,2009-09-11 01:55:00,0.0, None 
44.435,-123.53,23.0,2009-09-11 02:12:30,0.0, None 
44.4,-123.61,37.5,2009-09-11 02:17:30,0.0, None 
44.49,-123.72,20.0,2009-09-11 02:20:00,0.0, None 
