time,dvv,ccmean
2019-01-30,-0.049265199546648805,5.813355853208194
2019-01-31,-0.046879599211499895,5.824447214090686
2019-02-01,-0.041126171931634155,5.833073090601962
2019-02-02,-0.0360457518577766,5.843485669606888
2019-02-03,-0.03278992894991958,5.851031728742808
2019-02-04,-0.032506371286929105,5.85030130914957
2019-02-05,-0.03375482403469912,5.849629756002737
2019-02-06,-0.031730717234952306,5.848563554265725
2019-02-07,-0.029991913262956027,5.843843058225412
2019-02-08,-0.029998159913633436,5.844367649238842
2019-02-09,-0.029776612367937254,5.843724124261792
2019-02-10,-0.029389295445259877,5.840391235818203
2019-02-11,-0.027668005073909846,5.850790579052492
2019-02-12,-0.02643847685848004,5.856626452205573
2019-02-13,-0.026362108406233414,5.856179800657131
2019-02-14,-0.027138796188318694,5.850945702725047
2019-02-15,-0.02786333585298015,5.850829641897649
2019-02-16,-0.0335871927207827,5.850096038389262
2019-02-17,-0.03476003833606653,5.847536992542038
2019-02-18,-0.03531452496742954,5.866084100355717
2019-02-19,-0.034748236930954426,5.87590483035883
2019-02-20,-0.03737672822139606,5.867655199834272
2019-02-21,-0.03964653251365923,5.861587634088073
2019-02-22,-0.034726762312016136,5.864908955064426
2019-02-23,-0.03462118139530779,5.864460453438603
2019-02-24,-0.0362343757275047,5.8643362507151595
2019-02-25,-0.03441178208661656,5.866061212739787
2019-02-26,-0.03228539918562391,5.8620121727379235
2019-02-27,-0.03392374896047933,5.858760982389176
2019-02-28,-0.03411004493033586,5.85304792720614
2019-03-01,-0.03256071590444031,5.856922659802929
2019-03-02,-0.027973107853528946,5.858193201881114
2019-03-03,-0.026347747870170024,5.856883140905035
2019-03-04,-0.030059325985072948,5.8593664845530995
2019-03-05,-0.025573984372288694,5.864613242731212
2019-03-06,-0.019303609893728462,5.871747964723614
2019-03-07,-0.019753140879336425,5.878792664585766
2019-03-08,-0.021235865057575794,5.875181888046399
2019-03-09,-0.01899656885085451,5.876950164860599
2019-03-10,-0.016079200488808527,5.882967781978345
2019-03-11,-0.016475443370780062,5.88158325405963
2019-03-12,-0.018868169169739817,5.8783300565008485
2019-03-13,-0.01965436954751422,5.884796988642758
2019-03-14,-0.022051600132311548,5.885649742592045
2019-03-15,-0.021820689235017652,5.8868846644421975
2019-03-16,-0.01802474928409672,5.883676293794878
2019-03-17,-0.012431370564910867,5.885282517189917
2019-03-18,-0.008572449098888395,5.9051864014410995
2019-03-19,-0.0009071723101777202,5.916084259123619
2019-03-20,0.00387016885743211,5.927049289626216
2019-03-21,0.006928447503639347,5.9370544261768226
2019-03-22,0.008407563405760285,5.935435747487885
2019-03-23,0.011305203936562206,5.937439891538273
2019-03-24,0.006945485598433373,5.9466696533378425
2019-03-25,0.006582309328965898,5.950535382291094
2019-03-26,0.013129656356006637,5.957634302412211
2019-03-27,0.016173758281045867,5.965104758635948
2019-03-28,0.016303766817623678,5.971017250834102
2019-03-29,0.018965720706543888,5.974685187510583
2019-03-30,0.021280212972547157,5.975503485458543
2019-03-31,0.021209197900054017,5.977357484339412
2019-04-01,0.025579662789318218,5.979032223520746
2019-04-02,0.02952251531830598,5.979307108677657
2019-04-03,0.027645202445672198,5.979159632795251
2019-04-04,0.024222399764491816,5.98164320120173
2019-04-05,0.024472357394999176,5.982511105220733
2019-04-06,0.027707774913413714,5.976949285407405
2019-04-07,0.026816930500358833,5.971490329828104
2019-04-08,0.032648715649575125,5.9692238480263295
2019-04-09,0.03783781596157515,5.965961763546609
2019-04-10,0.03900998883049337,5.964009891333951
2019-04-11,0.04108053378573318,5.958206852148447
2019-04-12,0.04154336663930973,5.949646064529938
2019-04-13,0.04104536691540156,5.942115680037273
2019-04-14,0.04101346717677235,5.940187420990712
2019-04-15,0.04457080074000663,5.945006239471869
2019-04-16,0.044260807962060104,5.946250083363733
2019-04-17,0.04737601180402615,5.93937384789651
2019-04-18,0.050632496554650984,5.930133262576374
2019-04-19,0.05271929911137577,5.921854360225564
2019-04-20,0.05671403351533693,5.915307222635806
2019-04-21,0.06066425264931212,5.906538587809936
2019-04-22,0.06835359262371236,5.889220051171725
2019-04-23,0.06777318799035006,5.88941426029622
2019-04-24,0.07005204672266792,5.888917166997652
2019-04-25,0.0752975137551842,5.8763401544389975
2019-04-26,0.07707958501327654,5.861621988119894
2019-04-27,0.0793996036619024,5.847010850200945
2019-04-28,0.07739723430045427,5.847306927721638
2019-04-29,0.07927035254034968,5.843293225557679
2019-04-30,0.08212420409288249,5.833680837051393
2019-05-01,0.08338648291999394,5.82241421457735
2019-05-02,0.08652370957965631,5.8112631009795175
2019-05-03,0.08874314125688124,5.795747033102652
2019-05-04,0.08791901862349777,5.754390116609472
2019-05-05,0.08791668911326839,5.7502946075230525
2019-05-06,0.0914033999374175,5.743730692427983
2019-05-07,0.09910708399259115,5.694000604332088
2019-05-08,0.10194760948238839,5.681479381103085
2019-05-09,0.10243505533431597,5.678320127648093
2019-05-10,0.10198822167141174,5.678898009735653
2019-05-11,0.10408062773390792,5.683720408910129
2019-05-12,0.10620915331295147,5.687791408386481
2019-05-13,0.11119370657804264,5.667008857789256
2019-05-14,0.11256548421615996,5.672990587631201
2019-05-15,0.10852673989639482,5.6771762566530555
2019-05-16,0.10837412874749446,5.673601638086208
2019-05-17,0.11110708482507382,5.64747126577911
2019-05-18,0.10816694615163583,5.639391202714001
2019-05-19,0.104909223810837,5.62208337003158
2019-05-20,0.10329951169604341,5.644183255875786
2019-05-21,0.10197547273485143,5.6549040000004265
2019-05-22,0.10264229944597882,5.660246719041443
2019-05-23,0.10268083118495837,5.6642038683186104
2019-05-24,0.10308648166920988,5.664682731789116
2019-05-25,0.10216752168875307,5.671787863890173
2019-05-26,0.09946420345202557,5.676699679109682
2019-05-27,0.09781483397662903,5.678824296588401
2019-05-28,0.10196559389975703,5.672170816085868
2019-05-29,0.10142461425657512,5.665302289567409
2019-05-30,0.09998743505564578,5.666383921067455
2019-05-31,0.09828094277717302,5.66547969566933
2019-06-01,0.0966289254691997,5.636408128753732
2019-06-02,0.09563078489644922,5.633352320153627
2019-06-03,0.09988182718603804,5.61483567732978
2019-06-04,0.10435835101056008,5.5987109250394775
2019-06-05,0.1039002576573703,5.615585077504729
2019-06-06,0.10352244518175054,5.644655874351253
2019-06-07,0.09892016604691518,5.649195485081989
2019-06-08,0.09912512553299128,5.6493481145836535
2019-06-09,0.09972802067507812,5.645596081945269
2019-06-10,0.10389212814335408,5.63982542018219
2019-06-11,0.10809644523163159,5.625966223811584
2019-06-12,0.11222534298933493,5.609846717197222
2019-06-13,0.11665692034848328,5.597422223728898
2019-06-14,0.11840341708967905,5.5850112093575035
2019-06-15,0.12143792345984018,5.573203374763807
2019-06-16,0.12359718605160486,5.5658996903004905
2019-06-17,0.1253004333227097,5.565745014879184
2019-06-18,0.1219981879905844,5.5683799594074515
2019-06-19,0.12244370774051956,5.56998107471171
2019-06-20,0.12546844427280143,5.565305021119817
2019-06-21,0.12257952502444427,5.576034469678912
2019-06-22,0.12053280053109122,5.578819685865629
2019-06-23,0.11733482950221516,5.578754602857862
2019-06-24,0.11689655016149665,5.55371871461712
2019-06-25,0.11591790387878473,5.559066610366625
2019-06-26,0.11605520366876469,5.562067767767636
2019-06-27,0.11868936224260422,5.556450454602259
2019-06-28,0.11729701446785237,5.5807312276609835
2019-06-29,0.110268727017061,5.590155877852078
2019-06-30,0.1093677603838692,5.601036382159464
2019-07-01,0.1089897394805729,5.595097026562439
2019-07-02,0.11011386220605343,5.587240731983042
2019-07-03,0.10860361223371462,5.606875897115863
2019-07-04,0.10652228506080645,5.6033639545859515
2019-07-05,0.10589799005585952,5.59806493617388
2019-07-06,0.10225911172185131,5.617538431835782
2019-07-07,0.0994006124227137,5.615570404918141
2019-07-08,0.09907160085709821,5.6010304583850195
2019-07-09,0.10038409413160847,5.591349646412311
2019-07-10,0.10156118538500473,5.599267399464157
2019-07-11,0.09739521306141738,5.626286620869611
2019-07-12,0.09354823030991836,5.638244591641658
2019-07-13,0.09224313331805596,5.637384442896754
2019-07-14,0.09611610881417275,5.6371373840746815
2019-07-15,0.09549820712139528,5.636301385605769
2019-07-16,0.09246127010516735,5.64704676910231
2019-07-17,0.09222906602644179,5.653012887503668
2019-07-18,0.09444773358873101,5.658016618599962
2019-07-19,0.09388343593569463,5.649424501633038
2019-07-20,0.09509381115346272,5.636059950588423
2019-07-21,0.09531330929287109,5.632937196687571
2019-07-22,0.09814777889829143,5.624856445126399
2019-07-23,0.09703511660855224,5.615572983709638
2019-07-24,0.09703511660855224,5.615572983709638
2019-07-25,0.10022954091494797,5.616259832886378
2019-07-26,0.10351398268904198,5.61348968656039
2019-07-27,0.10498719494520675,5.62002429209088
2019-07-28,0.10865817341157752,5.630276883782369
2019-07-29,0.1110836509606216,5.627750957210967
2019-07-30,0.11561614948326494,5.626181549629419
2019-07-31,0.11409291328239986,5.652395225549412
2019-08-01,0.11266044699943938,5.64720270554401
2019-08-02,0.10827993854938647,5.66182184637392
2019-08-03,0.10708905787607001,5.668164706686963
2019-08-04,0.10277509441579999,5.671450297698269
2019-08-05,0.10440487094332761,5.66367581849903
2019-08-06,0.1096837619189601,5.65188012778426
2019-08-07,0.11006213303817931,5.650606877610549
2019-08-08,0.11219006233388841,5.648917743257804
2019-08-09,0.10922982481969758,5.652700703648868
2019-08-10,0.10266837591016026,5.679349306675248
2019-08-11,0.09882617529816261,5.70395138485949
2019-08-12,0.09381858243671957,5.71788028435746
2019-08-13,0.08903146545696683,5.728736190442087
2019-08-14,0.08116223027546185,5.761911867181369
2019-08-15,0.0819591013295436,5.773050785463942
2019-08-16,0.06991371153629748,5.795895438316781
2019-08-17,0.07136089071049427,5.805241399395843
2019-08-18,0.06622647660066991,5.826447629476465
2019-08-19,0.06228359088508814,5.8310377476087725
2019-08-20,0.062181702123657354,5.838267914834988
2019-08-21,0.06255799610657374,5.842702205851051
2019-08-22,0.058099402715124725,5.841914676211969
2019-08-23,0.06195477745091602,5.837740822483117
2019-08-24,0.06369460349521651,5.820597368334804
2019-08-25,0.05214603907041882,5.841222252751793
2019-08-26,0.04671028042810969,5.872004433075704
2019-08-27,0.04521566909392189,5.880110275450293
2019-08-28,0.05793554714098944,5.889355621143067
2019-08-29,0.06076353323115271,5.898719380009964
2019-08-30,0.056743935239537045,5.911963180263729
2019-08-31,0.050754961981107335,5.92663499853659
2019-09-01,0.04877451177616817,5.928527875723878
2019-09-02,0.050573363808515154,5.939482479273571
2019-09-03,0.04179935481838751,5.955256493118092
2019-09-04,0.0370391615493633,5.955406324722144
2019-09-05,0.03102618599906196,5.955512678429626
2019-09-06,0.024091579399460016,5.962736730250033
2019-09-07,0.015937719252275124,5.973630505246536
2019-09-08,0.010407851095401757,5.9825824616229255
2019-09-09,0.01532942349695126,5.980694354721981
2019-09-10,0.01783804267992274,5.975848472310337
2019-09-11,0.019673013472736048,5.97336813071535
2019-09-12,0.01789663662696322,5.97234890649128
2019-09-13,0.01201255676535948,5.97038310956341
2019-09-14,0.008742564511669895,5.967840307945831
2019-09-15,0.011587754693362462,5.97406864632647
2019-09-16,0.008233246402183451,5.979484695585597
2019-09-17,0.005886458428312258,5.979784762995577
2019-09-18,0.002329602595664937,5.982194099107028
2019-09-19,0.002774744038272555,5.985705030138426
2019-09-20,0.004842769470715142,5.988089022389504
2019-09-21,0.003986338100714048,5.987726428998724
2019-09-22,0.00483190086943045,5.98656222811926
2019-09-23,0.008097411239283259,5.983461494251548
2019-09-24,0.00952086220663462,5.982388051458583
2019-09-25,0.006881667642095371,5.9737636372650575
2019-09-26,0.007376417600242749,5.968000182140413
2019-09-27,0.009373920715665656,5.960342147649391
2019-09-28,0.007264117804654722,5.952706869955414
2019-09-29,0.010636426690064467,5.946847032945006
2019-09-30,0.014396829091456353,5.936264789017397
2019-10-01,0.012146139061622045,5.926236989818162
2019-10-02,0.011890667837716041,5.912956726686857
2019-10-03,0.012591523961111933,5.895911444946115
2019-10-04,0.007622622715713505,5.874001841553785
2019-10-05,0.003115784647303221,5.874653979985753
2019-10-06,0.0019360388871925158,5.877394409385802
2019-10-07,0.0020375717559817414,5.889259580223797
2019-10-08,0.0027965327440057095,5.895355369113178
2019-10-09,-0.0002099677058071476,5.883135557907154
2019-10-10,-0.0025787923207305804,5.876506384301627
2019-10-11,-0.008490524177346344,5.862195344662424
2019-10-12,-0.01015683278755243,5.8487233842918815
2019-10-13,-0.006932039550894732,5.841985052650917
2019-10-14,-0.008115902199346927,5.834420334690009
2019-10-15,-0.0021765743447681113,5.842507160532924
2019-10-16,0.00098828434020691,5.858845175883439
2019-10-17,0.002807708185074946,5.87303427686037
2019-10-18,0.0029789647497144123,5.882014012905462
2019-10-19,-0.006588502282709937,5.877813184027293
2019-10-20,-0.012869206142685065,5.871409931408415
2019-10-21,-0.013909955731139581,5.857611623974325
2019-10-22,-0.01830115415434497,5.8433722912107875
2019-10-23,-0.023084478137500683,5.832176017344061
2019-10-24,-0.020001005229324197,5.815923423471419
2019-10-25,-0.02110687945883377,5.814349519198856
2019-10-26,-0.026096933559195488,5.817707335682574
2019-10-27,-0.03559230917863204,5.816124511515874
2019-10-28,-0.038599684831374693,5.819358313731764
2019-10-29,-0.04092627869353533,5.806677976704605
2019-10-30,-0.042795615280222826,5.789167449853309
2019-10-31,-0.04598759283984448,5.787713549234717
2019-11-01,-0.05099278219621165,5.794840564922628
2019-11-02,-0.050939984511255205,5.807512070098695
2019-11-03,-0.050814096296061456,5.811623910344976
2019-11-04,-0.047927958791877875,5.829147364778262
2019-11-05,-0.0440305860684693,5.850406372469358
2019-11-06,-0.044476737565897206,5.848988549738184
2019-11-07,-0.04871496189849666,5.837315259563248
2019-11-08,-0.055371532788912284,5.8310016692973
2019-11-09,-0.05773277626146094,5.8265459131943365
2019-11-10,-0.06343980471995192,5.824843071935727
2019-11-11,-0.06198623060934127,5.833153734706275
2019-11-12,-0.05982436572952323,5.843608215382812
2019-11-13,-0.060961532936582186,5.836175738845665
2019-11-14,-0.06500745522039635,5.81851053456067
2019-11-15,-0.06524016841576741,5.818779137501482
2019-11-16,-0.06118687178657368,5.823225774702637
2019-11-17,-0.056124274871409176,5.847813815210281
2019-11-18,-0.056735829333894865,5.856064890981535
2019-11-19,-0.05805699524761954,5.852113227878291
2019-11-20,-0.06262622824556043,5.844053708024523
2019-11-21,-0.06282077816399471,5.848924181803085
2019-11-22,-0.06554873784083246,5.850029631282881
2019-11-23,-0.06533710715037376,5.845638853793274
2019-11-24,-0.06412081099399804,5.858558119367446
2019-11-25,-0.06679884655292516,5.863737281034926
2019-11-26,-0.0745845095305842,5.8488667981745674
2019-11-27,-0.0801071319272795,5.842206817238724
2019-11-28,-0.08362976429645866,5.83734279684658
2019-11-29,-0.083843497742053,5.834746040290128
2019-11-30,-0.08597077292300016,5.825455647279985
2019-12-01,-0.09096620343913972,5.812883439656528
2019-12-02,-0.09116850672365075,5.808861168593299
2019-12-03,-0.08649429606253592,5.807356322443957
2019-12-04,-0.0841191708969658,5.810698966657088
2019-12-05,-0.08097113438530502,5.811531178966156
2019-12-06,-0.07775001695612438,5.814972926543586
2019-12-07,-0.0790074206196891,5.8140141437112955
2019-12-08,-0.08057482055862704,5.814575514439942
2019-12-09,-0.08254452655739988,5.825000039287677
2019-12-10,-0.08060819837550272,5.830662800722278
2019-12-11,-0.07986749678452139,5.8274511493991055
2019-12-12,-0.08228390707646437,5.819569758368338
2019-12-13,-0.08562100769621381,5.8247795664051765
2019-12-14,-0.09097284436129441,5.821261645190641
2019-12-15,-0.09563395239830384,5.819751389728128
2019-12-16,-0.09806383111421929,5.818324884516476
2019-12-17,-0.09808876063175251,5.818351579325959
2019-12-18,-0.09290762296610454,5.811814223447177
2019-12-19,-0.086162144872114,5.812016352544145
2019-12-20,-0.08513356414801364,5.811696260286004
2019-12-21,-0.08735541177647396,5.79300612164391
2019-12-22,-0.08251391435068955,5.771694794080399
2019-12-23,-0.08191539274565636,5.759238129745302
2019-12-24,-0.08130686787504936,5.7537336054890575
2019-12-25,-0.08167215981185542,5.752461946298406
2019-12-26,-0.0770666673240008,5.755674308981462
2019-12-27,-0.0772975882513399,5.734862807088034
2019-12-28,-0.07295330889634993,5.714093862751213
2019-12-29,-0.06724627334566456,5.705284135126691
2019-12-30,-0.06445463322794508,5.703096855543566
2019-12-31,-0.060307879361312516,5.6906342858016625
2020-01-01,-0.05747929342939677,5.693943407423555
2020-01-02,-0.05486043243513138,5.7149030221540515
2020-01-03,-0.05259151518605827,5.731670309918021
2020-01-04,-0.05365387131894687,5.736091979770595
2020-01-05,-0.053400978130126994,5.740728150499045
2020-01-06,-0.0504890261982162,5.739557012739324
2020-01-07,-0.046948956197775366,5.745529565553867
2020-01-08,-0.04737418198760005,5.741524858897831
2020-01-09,-0.04271716900657399,5.7581084515899414
2020-01-10,-0.04080041133338947,5.774881896657616
2020-01-11,-0.04253124188248161,5.777839535355367
